timestamp,value,anomaly_score,S(t)_standard
2014-01-04 00:00:00,20.0,0.639426798,0.0
2014-01-04 00:05:00,20.0,0.025010755,0.0
2014-01-04 00:10:00,20.0,0.275029318,0.0
2014-01-04 00:15:00,20.0,0.223210738,0.0
2014-01-04 00:20:00,20.0,0.736471214,0.0
2014-01-04 00:25:00,20.0,0.676699487,0.0
2014-01-04 00:30:00,20.0,0.892179568,0.0
2014-01-04 00:35:00,20.0,0.086938833,0.0
2014-01-04 00:40:00,20.0,0.42192182,0.0
2014-01-04 00:45:00,20.0,0.029797219,0.0
2014-01-04 00:50:00,20.0,0.218637975,0.0
2014-01-04 00:55:00,20.0,0.505355288,0.0
2014-01-04 01:00:00,20.0,0.02653597,0.0
2014-01-04 01:05:00,20.0,0.198837651,0.0
2014-01-04 01:10:00,20.0,0.649884438,0.0
2014-01-04 01:15:00,20.0,0.544941481,0.0
2014-01-04 01:20:00,20.0,0.220440622,0.0
2014-01-04 01:25:00,20.0,0.589265684,0.0
2014-01-04 01:30:00,20.0,0.809430457,0.0
2014-01-04 01:35:00,20.0,0.00649876,0.0
2014-01-04 01:40:00,20.0,0.805819252,0.0
2014-01-04 01:45:00,20.0,0.698139395,0.0
2014-01-04 01:50:00,20.0,0.340250517,0.0
2014-01-04 01:55:00,20.0,0.1554795,0.0
2014-01-04 02:00:00,20.0,0.957213072,0.0
2014-01-04 02:05:00,20.0,0.336594545,0.0
2014-01-04 02:10:00,20.0,0.092745843,0.0
2014-01-04 02:15:00,20.0,0.096716377,0.0
2014-01-04 02:20:00,20.0,0.847494366,0.0
2014-01-04 02:25:00,20.0,0.603726031,0.0
2014-01-04 02:30:00,20.0,0.807128273,0.0
2014-01-04 02:35:00,20.0,0.729731787,0.0
2014-01-04 02:40:00,20.0,0.536228091,0.0
2014-01-04 02:45:00,20.0,0.973115764,0.0
2014-01-04 02:50:00,20.0,0.378534377,0.0
2014-01-04 02:55:00,20.0,0.552040631,0.0
2014-01-04 03:00:00,20.0,0.829404664,0.0
2014-01-04 03:05:00,20.0,0.618519752,0.0
2014-01-04 03:10:00,20.0,0.8617069,0.0
2014-01-04 03:15:00,20.0,0.577352145,0.0
2014-01-04 03:20:00,20.0,0.704571836,0.0
2014-01-04 03:25:00,20.0,0.045824384,0.0
2014-01-04 03:30:00,20.0,0.227898276,0.0
2014-01-04 03:35:00,20.0,0.289387964,0.0
2014-01-04 03:40:00,20.0,0.079791977,0.0
2014-01-04 03:45:00,20.0,0.232790886,0.0
2014-01-04 03:50:00,20.0,0.101001429,0.0
2014-01-04 03:55:00,20.0,0.277973603,0.0
2014-01-04 04:00:00,20.0,0.635684444,0.0
2014-01-04 04:05:00,20.0,0.364832179,0.0
2014-01-04 04:10:00,20.0,0.370180967,0.0
2014-01-04 04:15:00,20.0,0.209507031,0.0
2014-01-04 04:20:00,20.0,0.266977822,0.0
2014-01-04 04:25:00,20.0,0.936654588,0.0
2014-01-04 04:30:00,20.0,0.648035385,0.0
2014-01-04 04:35:00,20.0,0.609131006,0.0
2014-01-04 04:40:00,20.0,0.171138648,0.0
2014-01-04 04:45:00,20.0,0.729126798,0.0
2014-01-04 04:50:00,20.0,0.163402494,0.0
2014-01-04 04:55:00,20.0,0.379455442,0.0
2014-01-04 05:00:00,20.0,0.989523351,0.0
2014-01-04 05:05:00,20.0,0.63999976,0.0
2014-01-04 05:10:00,20.0,0.556949744,0.0
2014-01-04 05:15:00,20.0,0.684614251,0.0
2014-01-04 05:20:00,20.0,0.84285192,0.0
2014-01-04 05:25:00,20.0,0.775999912,0.0
2014-01-04 05:30:00,20.0,0.229048072,0.0
2014-01-04 05:35:00,20.0,0.032100244,0.0
2014-01-04 05:40:00,20.0,0.315453048,0.0
2014-01-04 05:45:00,20.0,0.267740876,0.0
2014-01-04 05:50:00,20.0,0.210982844,0.0
2014-01-04 05:55:00,20.0,0.942909714,0.0
2014-01-04 06:00:00,20.0,0.876367626,0.0
2014-01-04 06:05:00,20.0,0.314677881,0.0
2014-01-04 06:10:00,20.0,0.655438665,0.0
2014-01-04 06:15:00,20.0,0.395631901,0.0
2014-01-04 06:20:00,20.0,0.91454759,0.0
2014-01-04 06:25:00,20.0,0.458851853,0.0
2014-01-04 06:30:00,20.0,0.264880166,0.0
2014-01-04 06:35:00,20.0,0.246627508,0.0
2014-01-04 06:40:00,20.0,0.561368134,0.0
2014-01-04 06:45:00,20.0,0.262741609,0.0
2014-01-04 06:50:00,20.0,0.58458599,0.0
2014-01-04 06:55:00,20.0,0.897822884,0.0
2014-01-04 07:00:00,20.0,0.399400505,0.0
2014-01-04 07:05:00,20.0,0.219320759,0.0
2014-01-04 07:10:00,20.0,0.997537606,0.0
2014-01-04 07:15:00,20.0,0.509526294,0.0
2014-01-04 07:20:00,20.0,0.090909412,0.0
2014-01-04 07:25:00,20.0,0.047116375,0.0
2014-01-04 07:30:00,20.0,0.10964913,0.0
2014-01-04 07:35:00,20.0,0.627446042,0.0
2014-01-04 07:40:00,20.0,0.792079364,0.0
2014-01-04 07:45:00,20.0,0.422159967,0.0
2014-01-04 07:50:00,20.0,0.063527706,0.0
2014-01-04 07:55:00,20.0,0.381619287,0.0
2014-01-04 08:00:00,20.0,0.99612138,0.0
2014-01-04 08:05:00,20.0,0.529114345,0.0
2014-01-04 08:10:00,20.0,0.971078378,0.0
2014-01-04 08:15:00,20.0,0.860779702,0.0
2014-01-04 08:20:00,20.0,0.011481022,0.0
2014-01-04 08:25:00,20.0,0.720721819,0.0
2014-01-04 08:30:00,20.0,0.681710369,0.0
2014-01-04 08:35:00,20.0,0.53697033,0.0
2014-01-04 08:40:00,20.0,0.26682519,0.0
2014-01-04 08:45:00,20.0,0.640961799,0.0
2014-01-04 08:50:00,20.0,0.111552174,0.0
2014-01-04 08:55:00,20.0,0.434765251,0.0
2014-01-04 09:00:00,68.0,0.453723706,0.0
2014-01-04 09:05:00,68.0,0.953815928,0.0
2014-01-04 09:10:00,68.0,0.87585294,0.0
2014-01-04 09:15:00,68.0,0.263389051,0.0
2014-01-04 09:20:00,68.0,0.500586113,0.0
2014-01-04 09:25:00,68.0,0.178651881,0.0
