file,mse,TP,FP,FN,TN,parameters,threshold_parameters
art_daily_no_noise.csv,16.642303,0.0,0.0,0.0,4032.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_perfect_square_wave.csv,24.985569,0.0,0.0,0.0,4032.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_small_noise.csv,33.030124,0.0,0.0,0.0,4032.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_flatline.csv,0.0,0.0,0.0,0.0,4032.0,ar=0;ma=0;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_noisy.csv,9.952836,0.0,0.0,0.0,4032.0,ar=0;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_flatmiddle.csv,58.39889300000001,0.0,0.0,1.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_jumpsdown.csv,30.538321999999997,0.0,0.0,1.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_jumpsup.csv,39.514934999999994,1.0,0.0,0.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_nojump.csv,28.892851,0.0,0.0,1.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_increase_spike_density.csv,8.199722999999999,0.0,0.0,1.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_load_balancer_spikes.csv,0.129519,0.0,0.0,1.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
utilization_specific_user.csv,1.2183469999999998,0.0,0.0,0.0,14856.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_24ae8d.csv,0.009370999999999999,0.0,0.0,2.0,3630.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_53ea38.csv,0.010371,0.0,0.0,2.0,3630.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_5f5533.csv,8.313132000000001,1.0,0.0,1.0,3630.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_77c1ca.csv,198.549545,0.0,0.0,1.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_825cc2.csv,8.469771000000001,1.0,5.0,0.0,3684.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_ac20cd.csv,7.698884,1.0,0.0,0.0,3629.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_c6585a.csv,0.007474,0.0,0.0,0.0,4032.0,ar=1;ma=1;training_ratio=0.1,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
