file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
art_daily_no_noise.csv,18.281811,0.0,0.0,0.0,4032.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_perfect_square_wave.csv,26.691998,0.0,0.0,0.0,4032.0,ar=3;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_small_noise.csv,34.698253,0.0,0.0,0.0,4032.0,ar=4;d=0;ma=4;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_flatline.csv,0.565801,0.0,0.0,0.0,4032.0,ar=1;d=0;ma=1;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_noisy.csv,10.031338,0.0,0.0,0.0,4032.0,ar=4;d=0;ma=1;training_ratio=0.1125,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_flatmiddle.csv,59.817703,0.0,0.0,1.0,3629.0,ar=4;d=0;ma=2;training_ratio=0.1125,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2680.0,4032.0,0.665
art_daily_jumpsdown.csv,31.959555,0.0,0.0,1.0,3629.0,ar=3;d=0;ma=3;training_ratio=0.1125,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_daily_jumpsup.csv,41.479367,0.0,0.0,1.0,3629.0,ar=4;d=0;ma=3;training_ratio=0.1125,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_daily_nojump.csv,30.202982,0.0,0.0,1.0,3629.0,ar=4;d=0;ma=2;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_increase_spike_density.csv,8.380739,0.0,0.0,1.0,3629.0,ar=1;d=0;ma=0;training_ratio=0.1125,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1806.0,4032.0,0.448
