file,mse,parameters,
art_daily_no_noise.csv,55.813085,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_perfect_square_wave.csv,81.493812,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_small_noise.csv,61.291415,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_flatline.csv,0.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_noisy.csv,10.629369,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_flatmiddle.csv,147.566416,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_jumpsdown.csv,57.209669,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_jumpsup.csv,127.267517,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_nojump.csv,85.843276,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_increase_spike_density.csv,5.994759,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=20;LSTML2units=15;LSTMDL3units=5;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=20;CNNDL2units=15;CNNDL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
