file,mse,parameters,
art_daily_no_noise.csv,48.482069,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_perfect_square_wave.csv,74.177115,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_small_noise.csv,60.98944,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_flatline.csv,0.0,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_noisy.csv,9.973828,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_flatmiddle.csv,226.82606,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_jumpsdown.csv,86.987914,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_jumpsup.csv,209.355819,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_daily_nojump.csv,63.404042,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_increase_spike_density.csv,6.578888,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
art_load_balancer_spikes.csv,0.200373,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
electricity_utilization_specific_user.csv,2.459643,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_24ae8d.csv,0.009664,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_53ea38.csv,0.010793,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_5f5533.csv,28.719803,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_77c1ca.csv,543.341114,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
ec2_cpu_utilization_825cc2.csv,132.377389,lstmCells=10;DL1units=20;DL2units=15;DL3units=5;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=10;no_of_prediction_points=5,
