file,mse,TP,FP,FN,TN,parameters,threshold_parameters
art_daily_no_noise.csv,22.080909,0.0,0.0,0.0,4032.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_perfect_square_wave.csv,25.3531,0.0,0.0,0.0,4032.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_small_noise.csv,63.473682,0.0,0.0,0.0,4032.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_flatline.csv,0.0,0.0,0.0,0.0,4032.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_noisy.csv,11.745789,0.0,0.0,0.0,4032.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_flatmiddle.csv,73.239387,0.0,0.0,1.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_jumpsdown.csv,47.040965,0.0,0.0,1.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_jumpsup.csv,48.286625,1.0,0.0,0.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_nojump.csv,32.161144,0.0,0.0,1.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_increase_spike_density.csv,5.707161,1.0,0.0,0.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_load_balancer_spikes.csv,0.17158800000000002,0.0,0.0,1.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
electricity_utilization_specific_user.csv,1.32374,0.0,0.0,0.0,14856.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_24ae8d.csv,0.009683,0.0,0.0,2.0,3630.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_53ea38.csv,0.041962,0.0,0.0,2.0,3630.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_5f5533.csv,6.2870919999999995,1.0,0.0,1.0,3630.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_77c1ca.csv,263.922681,0.0,0.0,1.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_825cc2.csv,34.000840000000004,1.0,19.0,0.0,3670.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_ac20cd.csv,11.32158,0.0,0.0,1.0,3629.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_c6585a.csv,0.007722,0.0,0.0,0.0,4032.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_cpu_utilization_fe7f93.csv,63.875013,2.0,688.0,1.0,2939.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_disk_write_bytes_1ef3de.csv,1.2817212532658464e+16,1.0,80.0,0.0,4177.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_disk_write_bytes_c0d644.csv,6045676318866905.0,1.0,9.0,2.0,3618.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_network_in_257a54.csv,42262964884963.49,1.0,22.0,0.0,3607.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
ec2_network_in_5abac7.csv,5701306856474.419,0.0,0.0,2.0,4256.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
elb_request_count_8c0756.csv,3111.42965,1.0,0.0,1.0,3630.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
grok_asg_anomaly.csv,5.060969,3.0,85.0,0.0,4071.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,4741234856601.854,2.0,15.0,0.0,1102.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
rds_cpu_utilization_cc0c53.csv,0.910799,2.0,489.0,0.0,3141.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
rds_cpu_utilization_e47b3b.csv,4.085415,2.0,40.0,0.0,3590.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
exchange-2_cpc_results.csv,0.000554,0.0,41.0,1.0,1420.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
