file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
art_daily_no_noise.csv,1345.964392,0.0,0.0,0.0,4032.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_perfect_square_wave.csv,1468.247193,0.0,0.0,0.0,4032.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_small_noise.csv,1759.0181890000001,0.0,0.0,0.0,4032.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_flatline.csv,1459.886696,0.0,0.0,0.0,4032.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_noisy.csv,10.032577999999999,0.0,0.0,0.0,4032.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_flatmiddle.csv,1468.4234310000002,0.0,0.0,1.0,3629.0,lstmCells=11;learningRate=0.0012;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2680.0,4032.0,0.665
art_daily_jumpsdown.csv,2421.962405,0.0,0.0,1.0,3629.0,lstmCells=15;learningRate=1e-05;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=30,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_daily_jumpsup.csv,2934.061161,0.0,0.0,1.0,3629.0,lstmCells=11;learningRate=0.0001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_daily_nojump.csv,2411.621515,0.0,0.0,1.0,3629.0,lstmCells=15;learningRate=1e-05;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=30,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_increase_spike_density.csv,8.314397,0.0,0.0,1.0,3629.0,lstmCells=11;learningRate=1e-05;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1806.0,4032.0,0.44799999999999995
art_load_balancer_spikes.csv,0.254896,1.0,7.0,0.0,3622.0,lstmCells=11;learningRate=1e-05;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2735.0,4032.0,0.6779999999999999
ec2_cpu_utilization_24ae8d.csv,0.008955,2.0,55.0,0.0,3575.0,lstmCells=20;learningRate=1e-05;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=40,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,3448.0,4032.0,0.855
ec2_cpu_utilization_53ea38.csv,0.010542000000000001,0.0,0.0,2.0,3630.0,lstmCells=6;learningRate=0.0001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=40,comparision_window_size=25;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,1397.0,4032.0,0.34600000000000003
ec2_cpu_utilization_5f5533.csv,1664.512904,0.0,0.0,2.0,3630.0,lstmCells=5;learningRate=0.0001;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=40,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,2.0,1172.0,4032.0,0.29100000000000004
