timestamp,value
24-10-2016 0,0.32
24-10-2016 1,0.32
24-10-2016 2,1.74
24-10-2016 3,1.08
24-10-2016 4,0.58
24-10-2016 5,0.57
24-10-2016 6,1.5
24-10-2016 7,5.07
24-10-2016 8,4.65
24-10-2016 9,5.17
24-10-2016 10,2.53
24-10-2016 11,3.67
24-10-2016 12,1.46
24-10-2016 13,2.34
24-10-2016 14,1.3
24-10-2016 15,2.02
24-10-2016 16,2.64
24-10-2016 17,2.32
24-10-2016 18,3.21
24-10-2016 19,2.85
24-10-2016 20,2.8
24-10-2016 21,2.85
24-10-2016 22,1.83
24-10-2016 23,2.41
25-10-2016 0,2.09
25-10-2016 1,0.27
25-10-2016 2,1.42
25-10-2016 3,1.37
25-10-2016 4,1.08
25-10-2016 5,0.76
25-10-2016 6,1.68
25-10-2016 7,4.37
25-10-2016 8,5.74
25-10-2016 9,5.01
25-10-2016 10,2.79
25-10-2016 11,3.1
25-10-2016 12,2.58
25-10-2016 13,3.28
25-10-2016 14,1.43
25-10-2016 15,2.39
25-10-2016 16,2.74
25-10-2016 17,2.53
25-10-2016 18,2.69
25-10-2016 19,1.52
25-10-2016 20,3.69
25-10-2016 21,1.72
25-10-2016 22,2.8
25-10-2016 23,1.87
26-10-2016 0,1.07
26-10-2016 1,0.65
26-10-2016 2,0.76
26-10-2016 3,1.46
26-10-2016 4,1.1
26-10-2016 5,0.88
26-10-2016 6,1.25
26-10-2016 7,5.19
26-10-2016 8,4.65
26-10-2016 9,3.98
26-10-2016 10,1.87
26-10-2016 11,3.59
26-10-2016 12,2.1
26-10-2016 13,2.61
26-10-2016 14,1.98
26-10-2016 15,2.7
26-10-2016 16,2.89
26-10-2016 17,1.65
26-10-2016 18,2.38
26-10-2016 19,2.42
26-10-2016 20,2.09
26-10-2016 21,2.79
26-10-2016 22,1.47
26-10-2016 23,1.89
27-10-2016 0,0.83
27-10-2016 1,1.05
27-10-2016 2,1.1
27-10-2016 3,1.2
27-10-2016 4,0.95
27-10-2016 5,1.69
27-10-2016 6,0.99
27-10-2016 7,5.5
27-10-2016 8,4.44
27-10-2016 9,4.22
27-10-2016 10,2.43
27-10-2016 11,1.89
27-10-2016 12,3.69
27-10-2016 13,1.92
27-10-2016 14,2.47
27-10-2016 15,2.52
27-10-2016 16,2.51
27-10-2016 17,3.88
27-10-2016 18,2.93
27-10-2016 19,3.23
27-10-2016 20,2.22
27-10-2016 21,0.95
27-10-2016 22,2.59
27-10-2016 23,2.03
28-10-2016 0,1.11
28-10-2016 1,1.19
28-10-2016 2,0.25
28-10-2016 3,0.75
28-10-2016 4,0.95
28-10-2016 5,0.6
28-10-2016 6,0.25
28-10-2016 7,2.77
28-10-2016 8,4.04
28-10-2016 9,2.83
28-10-2016 10,2.34
28-10-2016 11,3.36
28-10-2016 12,2.08
28-10-2016 13,2.49
28-10-2016 14,3.34
28-10-2016 15,2.02
28-10-2016 16,1.57
28-10-2016 17,2.15
28-10-2016 18,2.46
28-10-2016 19,2.81
28-10-2016 20,3.45
28-10-2016 21,2.45
28-10-2016 22,2.18
28-10-2016 23,1.88
29-10-2016 0,0.46
29-10-2016 1,0.31
29-10-2016 2,0.77
29-10-2016 3,1
29-10-2016 4,1.07
29-10-2016 5,0.58
29-10-2016 6,1.33
29-10-2016 7,4.56
29-10-2016 8,5.64
29-10-2016 9,4.33
