timestamp,value,prediction
2015-03-04 10:07:53,7,4.97103214263916
2015-03-04 10:12:53,4,4.7718119621276855
2015-03-04 10:17:53,6,5.142359256744385
2015-03-04 10:22:53,2,5.0365214347839355
2015-03-04 10:27:53,0,5.317197322845459
2015-03-04 10:32:53,2,4.039161682128906
2015-03-04 10:37:53,5,3.8143866062164307
2015-03-04 10:42:53,5,4.653134346008301
2015-03-04 10:47:53,4,5.040038108825684
2015-03-04 10:52:53,6,5.031982421875
2015-03-04 10:57:53,4,4.827503681182861
2015-03-04 11:02:53,1,4.982998371124268
2015-03-04 11:07:53,3,4.881165981292725
2015-03-04 11:12:53,6,3.9450125694274902
2015-03-04 11:17:53,5,4.476193428039551
2015-03-04 11:22:53,8,4.837864875793457
2015-03-04 11:27:53,8,4.8304548263549805
2015-03-04 11:32:53,11,5.307410717010498
2015-03-04 11:37:53,8,6.031744480133057
2015-03-04 11:42:53,1,6.579157829284668
2015-03-04 11:47:53,8,5.7353291511535645
2015-03-04 11:52:53,4,4.874894618988037
2015-03-04 11:57:53,7,5.706532001495361
2015-03-04 12:02:53,0,5.4849467277526855
2015-03-04 12:07:53,2,5.439818382263184
2015-03-04 12:12:53,4,4.684109210968018
2015-03-04 12:17:53,3,5.2679290771484375
2015-03-04 12:22:53,3,5.92146110534668
2015-03-04 12:27:53,9,5.178563117980957
2015-03-04 12:32:53,7,5.2462477684021
2015-03-04 12:37:53,8,6.037790775299072
2015-03-04 12:42:53,4,6.106113433837891
2015-03-04 12:47:53,15,6.27703857421875
2015-03-04 12:52:53,15,6.1456685066223145
2015-03-04 12:57:53,13,8.587950706481934
2015-03-04 13:02:53,9,8.47663688659668
2015-03-04 13:07:53,8,7.796725273132324
2015-03-04 13:12:53,4,7.315483570098877
2015-03-04 13:17:53,3,7.547638416290283
2015-03-04 13:22:53,10,7.087239742279053
2015-03-04 13:27:53,11,6.884556293487549
2015-03-04 13:32:53,4,7.829811096191406
2015-03-04 13:37:53,4,8.023439407348633
2015-03-04 13:42:53,6,6.654305458068848
2015-03-04 13:47:53,3,7.551422119140625
2015-03-04 13:52:53,4,8.19274616241455
2015-03-04 13:57:53,4,7.583179950714111
2015-03-04 14:02:53,8,6.792908191680908
2015-03-04 14:07:53,4,7.108150959014893
2015-03-04 14:12:53,10,7.577946186065674
2015-03-04 14:17:53,5,7.3127288818359375
2015-03-04 14:22:53,4,8.319991111755371
2015-03-04 14:27:53,14,7.641498565673828
2015-03-04 14:32:53,11,6.996669769287109
2015-03-04 14:37:53,7,8.268325805664062
2015-03-04 14:42:53,7,7.701019763946533
2015-03-04 14:47:53,6,6.522026538848877
2015-03-04 14:52:53,12,6.935905933380127
2015-03-04 14:57:53,14,7.960432052612305
2015-03-04 15:02:53,14,8.852931022644043
2015-03-04 15:07:53,6,8.481796264648438
2015-03-04 15:12:53,7,8.750658988952637
2015-03-04 15:17:53,7,7.6232428550720215
2015-03-04 15:22:53,7,8.17074966430664
2015-03-04 15:27:53,12,8.954324722290039
2015-03-04 15:32:53,13,8.601795196533203
2015-03-04 15:37:53,5,9.229700088500977
2015-03-04 15:42:53,8,9.475306510925293
2015-03-04 15:47:53,5,8.585479736328125
2015-03-04 15:52:53,11,9.140023231506348
2015-03-04 15:57:53,0,9.537968635559082
2015-03-04 16:02:53,10,9.672195434570312
2015-03-04 16:07:53,20,7.426328182220459
2015-03-04 16:12:53,6,9.267122268676758
2015-03-04 16:17:53,9,11.043537139892578
2015-03-04 16:22:53,12,9.01417064666748
2015-03-04 16:27:53,7,9.45240306854248
2015-03-04 16:32:53,3,10.67159366607666
2015-03-04 16:37:53,8,9.288064002990723
2015-03-04 16:42:53,14,7.531276226043701
2015-03-04 16:47:53,17,8.448697090148926
2015-03-04 16:52:53,12,10.956010818481445
2015-03-04 16:57:53,24,10.389713287353516
2015-03-04 17:02:53,9,10.958137512207031
2015-03-04 17:07:53,12,12.936994552612305
2015-03-04 17:12:53,10,10.735125541687012
2015-03-04 17:17:53,7,10.702108383178711
2015-03-04 17:22:53,12,10.660252571105957
2015-03-04 17:27:53,13,10.344181060791016
2015-03-04 17:32:53,9,10.94422721862793
2015-03-04 17:37:53,8,11.67558479309082
2015-03-04 17:42:53,10,11.604001998901367
2015-03-04 17:47:53,11,11.120599746704102
2015-03-04 17:52:53,10,11.496795654296875
2015-03-04 17:57:53,7,12.107057571411133
2015-03-04 18:02:53,6,10.165462493896484
2015-03-04 18:07:53,5,10.139870643615723
2015-03-04 18:12:53,12,10.206618309020996
2015-03-04 18:17:53,11,10.648022651672363
2015-03-04 18:22:53,7,11.657892227172852
2015-03-04 18:27:53,12,11.099542617797852
2015-03-04 18:32:53,13,10.041033744812012
2015-03-04 18:37:53,11,10.687135696411133
2015-03-04 18:42:53,7,11.084098815917969
2015-03-04 18:47:53,5,10.191575050354004
2015-03-04 18:52:53,7,9.060349464416504
2015-03-04 18:57:53,2,9.118231773376465
2015-03-04 19:02:53,12,9.197929382324219
2015-03-04 19:07:53,13,8.227703094482422
2015-03-04 19:12:53,8,9.826732635498047
2015-03-04 19:17:53,11,10.11000919342041
2015-03-04 19:22:53,9,9.202686309814453
2015-03-04 19:27:53,13,9.652594566345215
2015-03-04 19:32:53,12,9.92050552368164
2015-03-04 19:37:53,6,10.355480194091797
2015-03-04 19:42:53,6,9.5594482421875
2015-03-04 19:47:53,8,8.78848648071289
2015-03-04 19:52:53,6,9.137319564819336
2015-03-04 19:57:53,5,9.296354293823242
2015-03-04 20:02:53,5,9.360225677490234
2015-03-04 20:07:53,3,8.38038158416748
2015-03-04 20:12:53,3,7.962262153625488
2015-03-04 20:17:53,5,7.691042423248291
2015-03-04 20:22:53,3,7.1366729736328125
2015-03-04 20:27:53,12,7.396366119384766
2015-03-04 20:32:53,1,7.484879970550537
2015-03-04 20:37:53,5,8.171150207519531
2015-03-04 20:42:53,1,6.751640796661377
2015-03-04 20:47:53,3,6.624423503875732
2015-03-04 20:52:53,7,6.228305816650391
2015-03-04 20:57:53,9,6.407332420349121
2015-03-04 21:02:53,2,6.689233303070068
2015-03-04 21:07:53,7,6.155834197998047
2015-03-04 21:12:53,8,5.26376485824585
2015-03-04 21:17:53,7,6.0377278327941895
2015-03-04 21:22:53,7,6.632941722869873
2015-03-04 21:27:53,4,6.474738597869873
2015-03-04 21:32:53,12,5.228926181793213
2015-03-04 21:37:53,5,5.889695644378662
2015-03-04 21:42:53,3,6.783473968505859
2015-03-04 21:47:53,5,5.91797399520874
2015-03-04 21:52:53,4,5.52908992767334
2015-03-04 21:57:53,8,6.322659015655518
2015-03-04 22:02:53,2,6.228092193603516
2015-03-04 22:07:53,5,6.30228328704834
2015-03-04 22:12:53,4,5.130963325500488
2015-03-04 22:17:53,3,5.831268787384033
2015-03-04 22:22:53,3,6.071185111999512
2015-03-04 22:27:53,7,5.637628078460693
2015-03-04 22:32:53,1,5.890408039093018
2015-03-04 22:37:53,2,5.69483757019043
2015-03-04 22:42:53,7,5.072915554046631
2015-03-04 22:47:53,5,5.073268413543701
2015-03-04 22:52:53,2,5.918058395385742
2015-03-04 22:57:53,6,5.647241592407227
2015-03-04 23:02:53,3,4.525867462158203
2015-03-04 23:07:53,5,5.28931999206543
2015-03-04 23:12:53,4,5.028094291687012
2015-03-04 23:17:53,1,4.743031978607178
2015-03-04 23:22:53,10,4.371901512145996
2015-03-04 23:27:53,4,4.713622570037842
