file,mse,TP,FP,FN,TN,parameters,threshold_parameters
art_daily_no_noise.csv,21.217931,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_perfect_square_wave.csv,27.009177,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_small_noise.csv,28.528106,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_flatline.csv,0.0,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_noisy.csv,10.083876,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_flatmiddle.csv,152.06616,0.0,1.0,1.0,3628.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_jumpsdown.csv,32.428977,0.0,0.0,1.0,3629.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_jumpsup.csv,133.283107,1.0,0.0,0.0,3629.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_daily_nojump.csv,25.583429000000002,0.0,0.0,1.0,3629.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_increase_spike_density.csv,4.991868,0.0,0.0,1.0,3629.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
art_load_balancer_spikes.csv,0.15729100000000001,1.0,1.0,0.0,3628.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=15;batch_size=1;training_ratio=0.1;sequance_length=20,comparision_window_size=4;threshold_max_multipler=2;training_ratio=0.05
