file,mse,parameters,
art_daily_no_noise.csv,228368.142464,training_size=300,
art_daily_perfect_square_wave.csv,130083.263166,training_size=300,
art_daily_small_noise.csv,231859.635196,training_size=300,
art_flatline.csv,60.604668,training_size=300,
art_noisy.csv,29.034786,training_size=300,
art_daily_jumpsdown.csv,213689.281814,training_size=300,
art_daily_jumpsup.csv,266454.00686,training_size=300,
art_daily_nojump.csv,219689.23227,training_size=300,
art_increase_spike_density.csv,426.319227,training_size=300,
art_load_balancer_spikes.csv,0.424675,training_size=300,
ec2_cpu_utilization_24ae8d.csv,0.27313,training_size=300,
ec2_cpu_utilization_53ea38.csv,0.072514,training_size=300,
ec2_cpu_utilization_5f5533.csv,69.671171,training_size=300,
ec2_cpu_utilization_77c1ca.csv,1788.59,training_size=300,
ec2_cpu_utilization_825cc2.csv,578.787887,training_size=300,
ec2_cpu_utilization_ac20cd.csv,610.495863,training_size=300,
ec2_cpu_utilization_c6585a.csv,0.012524,training_size=300,
ec2_cpu_utilization_fe7f93.csv,63448.727612,training_size=300,
ec2_disk_write_bytes_1ef3de.csv,2.4988081929116227e+18,training_size=300,
ec2_disk_write_bytes_c0d644.csv,1.3511910754131776e+16,training_size=300,
ec2_network_in_257a54.csv,24937422221254.875,training_size=300,
ec2_network_in_5abac7.csv,657519357960.3649,training_size=300,
elb_request_count_8c0756.csv,4920.319136,training_size=300,
grok_asg_anomaly.csv,267.656627,training_size=300,
iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,253682512921630.28,training_size=300,
rds_cpu_utilization_cc0c53.csv,26.992204,training_size=300,
rds_cpu_utilization_e47b3b.csv,45.503592,training_size=300,
exchange-2_cpc_results.csv,0.001942,training_size=300,
exchange-2_cpm_results.csv,0.104705,training_size=300,
exchange-3_cpc_results.csv,0.093167,training_size=300,
exchange-3_cpm_results.csv,1.569656,training_size=300,
exchange-4_cpc_results.csv,0.033716,training_size=300,
exchange-4_cpm_results.csv,3.902759,training_size=300,
ambient_temperature_system_failure.csv,267.636295,training_size=300,
cpu_utilization_asg_misconfiguration.csv,682.903111,training_size=300,
ec2_request_latency_system_failure.csv,48.145258,training_size=300,
machine_temperature_system_failure.csv,49835.937171,training_size=300,
nyc_taxi.csv,2226531485.429376,training_size=300,
rogue_agent_key_hold.csv,0.119958,training_size=300,
rogue_agent_key_updown.csv,1164.969087,training_size=300,
TravelTime_387.csv,204308.868198,training_size=300,
TravelTime_451.csv,733747.692484,training_size=300,
occupancy_6005.csv,84.816115,training_size=300,
occupancy_t4013.csv,613.86592,training_size=300,
speed_6005.csv,322.129089,training_size=300,
speed_7578.csv,454.37859,training_size=300,
speed_t4013.csv,2796.125529,training_size=300,
Twitter_volume_AAPL.csv,10799336.661823,training_size=300,
Twitter_volume_AMZN.csv,28251.568425,training_size=300,
Twitter_volume_CRM.csv,49.89895,training_size=300,
Twitter_volume_CVS.csv,6.465143,training_size=300,
Twitter_volume_FB.csv,129883.845085,training_size=300,
Twitter_volume_GOOG.csv,13779.208545,training_size=300,
Twitter_volume_IBM.csv,70.167352,training_size=300,
Twitter_volume_KO.csv,2675.936599,training_size=300,
Twitter_volume_PFE.csv,43.723724,training_size=300,
Twitter_volume_UPS.csv,787.775121,training_size=300,
